,City,Country,datetime,lat,long,Max Temp (F),Cloudiness,Humidity,Wind Speed
0,Ushuaia,AR,1644551152,-54.8,-68.3,44.3,40,81,12.86
1,Doha,QA,1644551347,25.2867,51.5333,64.3,0,85,1.54
2,Jamestown,US,1644551347,42.097,-79.2353,32.1,100,59,3.09
3,Huittinen,FI,1644551348,61.1833,22.7,28.0,11,92,3.16
4,Gawler,AU,1644551138,-34.6,138.7333,83.1,28,34,3.44
5,Sur,OM,1644551349,22.5667,59.5289,69.4,0,50,1.88
6,Hong Kong,HK,1644551177,22.2855,114.1577,74.0,39,76,3.58
7,Tauragė,LT,1644551349,55.2522,22.2897,34.0,78,94,3.94
8,Talnakh,RU,1644551230,69.4865,88.3972,-0.8,18,93,5.4
9,Hobart,AU,1644551252,-42.8794,147.3294,73.0,40,43,4.63
10,Bredasdorp,ZA,1644551351,-34.5322,20.0403,54.7,0,88,2.57
11,Ribeira Grande,PT,1644551351,38.5167,-28.7,60.1,100,69,3.79
12,Flinders,AU,1644551352,-34.5833,150.8552,73.8,100,78,6.16
13,Lavrentiya,RU,1644551352,65.5833,-171.0,-27.8,52,98,2.34
14,Huangyan,CN,1644551353,28.6478,121.2594,47.0,100,93,1.15
15,Kahului,US,1644551272,20.8947,-156.47,78.8,40,73,5.66
16,Port Alfred,ZA,1644551354,-33.5906,26.891,66.6,4,87,2.35
17,Mataura,NZ,1644551354,-46.1927,168.8643,63.5,26,55,3.51
18,Rikitea,PF,1644551318,-23.1203,-134.9692,79.5,40,72,6.54
19,Itacaré,BR,1644551355,-14.2775,-38.9967,75.5,6,87,1.54
20,Warsaw,PL,1644551248,52.2298,21.0118,40.8,20,91,3.6
21,Wołomin,PL,1644551162,52.3401,21.2421,41.1,100,92,4.23
22,Arraial do Cabo,BR,1644551069,-22.9661,-42.0278,71.9,100,92,1.35
23,Hermanus,ZA,1644551357,-34.4187,19.2345,60.9,0,79,1.33
24,Agadez,NE,1644551357,19.75,10.25,53.2,0,31,4.19
25,Bluff,NZ,1644551358,-46.6,168.3333,63.8,26,74,4.93
26,Provideniya,RU,1644551358,64.3833,-173.3,-9.3,0,59,5.0
27,Yuanli,TW,1644551359,24.4397,120.6535,82.4,75,88,6.17
28,Vila Franca do Campo,PT,1644551359,37.7167,-25.4333,59.2,97,73,2.37
29,Port Elizabeth,ZA,1644551360,-33.918,25.5701,61.1,0,82,2.06
30,Punta Arenas,CL,1644551360,-53.15,-70.9167,44.7,75,57,4.12
31,Barrow,US,1644551361,71.2906,-156.7887,-16.6,100,69,3.6
32,Lompoc,US,1644551361,34.6391,-120.4579,67.4,0,46,0.0
33,Rochegda,RU,1644551362,62.8,43.25,23.7,100,96,2.8
34,Dandong,CN,1644551362,40.1292,124.3947,39.3,16,60,2.44
35,Bonavista,CA,1644551363,48.6499,-53.1147,33.1,57,78,6.83
